Date,ATemp,Pg,Rt,NEM
2000-12-31,0.707692307692308,NA,NA,NA
2001-01-01,1.1625,93.0123935879394,-6.43241019830666,86.5799833896328
2001-01-02,-0.05625,-42.1885996778391,57.2171890683812,15.0285893905421
2001-01-03,-2.02604166666667,-16.8332906785099,71.2094380662688,54.3761473877588
2001-01-04,0.944791666666667,-38.7687853389242,45.1049407695403,6.33615543061611
2001-01-05,6.79555555555556,35.7448017124446,-73.5428402455444,-37.7980385330998
2001-01-06,5.22916666666667,83.5000423237137,-34.506972667572,48.9930696561417
2001-01-07,13.3635416666667,55.8855060313134,-133.82144859671,-77.9359425653967
2001-01-08,6.1,79.2877753485064,-63.2886891138497,15.9990862346567
2001-01-09,2.353125,129.944309038317,-42.2523412688042,87.691967769513
2001-01-10,3.9625,86.4355996603271,-65.7557770113737,20.6798226489534
2001-01-11,11.1208333333333,57.2951736654578,-89.5530822058822,-32.2579085404244
2001-01-12,6.63958333333333,25.685528367242,-42.6878315980197,-17.0023032307776
2001-01-13,8.909375,87.9151902844994,-48.8115544254095,39.10363585909
2001-01-14,15.9166666666667,130.472321987471,-138.99186384379,-8.51954185631948
2001-01-15,13.3520833333333,118.98297557319,-155.425899277942,-36.4429237047523
2001-01-16,9.71770833333333,-140.96469776807,85.1943015104194,-55.7703962576506
2001-01-17,17.0170454545455,218.182729881238,45.9990731218275,264.181803003065
2001-01-18,19.7958333333333,-10.5865552042211,-21.5657407370381,-32.1522959412592
2001-01-19,9.13541666666667,-0.665663788982718,12.5730254934833,11.9073617045006
2001-01-20,2.26354166666667,83.3907876665367,-50.1180854160179,33.2727022505187
2001-01-21,1.78020833333333,92.2944955886786,-81.4188575918828,10.8756379967958
2001-01-22,2.56041666666667,-36.3115682906592,3.63132369294001,-32.6802445977192
2001-01-23,5.00833333333333,68.2437800881118,-40.7520923107804,27.4916877773314
2001-01-24,7.0875,75.0490665750281,-77.9087677715074,-2.85970119647928
2001-01-25,6.2875,95.1703067600847,-106.620292336019,-11.4499855759345
2001-01-26,12.9882978723404,87.640611672006,-81.8131759036699,5.82743576833612
2001-01-27,14.5208333333333,111.355782791767,-84.2249825280632,27.1308002637035
2001-01-28,16.48125,97.7359494286409,-175.410340552541,-77.6743911238997
2001-01-29,15.80625,37.2270433381112,-89.4371103390722,-52.210067000961
2001-01-30,14.6291666666667,122.936365457038,-23.7927657628304,99.1435996942072
2001-01-31,13.8177083333333,90.348860063315,-66.0022723865055,24.3465876768095
2001-02-01,8.89895833333333,26.5460061958714,-42.9215305966284,-16.375524400757
2001-02-02,7.52916666666667,22.9656306583879,-1.72651258855596,21.239118069832
2001-02-03,5.68958333333333,5.78911234856608,24.0314667305016,29.8205790790676
2001-02-04,7.87291666666667,76.961211417259,-27.6541980384186,49.3070133788404
2001-02-05,7.40104166666667,91.6405751961053,-104.120776042938,-12.4802008468332
2001-02-06,9.48645833333333,136.784188664055,-109.896521617826,26.8876670462294
2001-02-07,13.0875,81.3498921864656,-102.57813492918,-21.2282427427144
2001-02-08,17.1333333333333,35.1301937996608,-129.351398411049,-94.2212046113886
2001-02-09,17.965625,98.8895177187747,-119.254124626001,-20.3646069072267
2001-02-10,9.90208333333333,90.8307777655662,-42.4390201187023,48.391757646864
2001-02-11,11.743023255814,-15.8621303965588,272.925697327978,257.063566931419
2001-02-12,17.3686046511628,10.3512158683087,-64.8623383476701,-54.5111224793614
2001-02-13,17.8552083333333,NA,NA,NA
2001-02-14,19.9572916666667,NA,NA,NA
2001-02-15,21.090625,NA,NA,NA
2001-02-16,17.5645833333333,NA,NA,NA
2001-02-17,9.32291666666667,NA,NA,NA
2001-02-18,9.23229166666667,NA,NA,NA
2001-02-19,14.0052083333333,NA,NA,NA
2001-02-20,18.6885416666667,NA,NA,NA
2001-02-21,17.9947916666667,NA,NA,NA
2001-02-22,15.8458333333333,NA,NA,NA
2001-02-23,15.3979166666667,NA,NA,NA
2001-02-24,20.7645833333333,NA,NA,NA
2001-02-25,20.1572916666667,NA,NA,NA
2001-02-26,19.7614583333333,10.5554543453969,-147.733566999016,-137.178112653619
2001-02-27,19.653125,182.315449484688,-114.697652304011,67.6177971806761
2001-02-28,18.5489583333333,78.2539611877807,-128.729192032384,-50.4752308446033
2001-03-01,19.609375,-10.2447579890316,-18.029647806738,-28.2744057957696
2001-03-02,22.0770833333333,134.1415286237,-140.638276298901,-6.49674767520048
2001-03-03,20.6617021276596,70.0120214617598,-73.7388456369906,-3.72682417523076
2001-03-04,13.1739583333333,59.693654140648,-57.3072709279366,2.38638321271139
2001-03-05,12.1677083333333,83.134450471869,-59.9199758249134,23.2144746469557
2001-03-06,10.5291666666667,53.6558670064786,-60.9769712075164,-7.32110420103783
2001-03-07,10.1760416666667,149.794305253386,-192.746878201766,-42.9525729483801
2001-03-08,15.0369565217391,122.732399240997,-102.819323157715,19.9130760832817
2001-03-09,10.8447916666667,57.7365763278762,-56.8024049842554,0.934171343620783
2001-03-10,9.41979166666667,227.22368208779,-217.563425852116,9.66025623567407
2001-03-11,17.1652173913043,142.618554919992,-214.210581606502,-71.5920266865096
2001-03-12,18.0229166666667,81.8529372505905,-219.415144053996,-137.562206803406
2001-03-13,17.5790697674419,291.592152578726,-354.572595793274,-62.9804432145475
2001-03-14,15.328125,101.505345377827,-157.636876221781,-56.1315308439536
2001-03-15,16.3479166666667,NA,NA,NA
2001-03-16,13.9822916666667,-10.6041003818632,-71.4992352813653,-82.1033356632285
2001-03-17,9.95833333333333,24.5832043086113,-32.1671536863109,-7.58394937769966
